m_name,m_surname,m_email,m_birth_year,m_birth_month,m_birth_day,m_group,m_rating,m_phone_number
Тарас,Зайцев,taras.zaytsev29@student.org,2001,7,2,MLX-37,36.52,38(095)36-15-783
Інна,Король,inna.korol18@student.org,1964,4,5,ZEV-93,98.43,38(063)35-92-133
Людмила,Бойко,lyudmyla.boyko48@student.org,1964,6,7,WFH-68,86.61,38(096)76-15-898
Іван,Павленко,ivan.pavlenko27@student.org,1985,2,19,IPQ-50,37.29,38(096)42-76-546
Максим,Поліщук,maksym.polishchuk3@student.org,1967,5,30,UAO-12,1.57,38(096)10-91-619
Михайло,Левченко,mykhaylo.levchenko26@student.org,1978,6,3,ZYA-14,1.24,38(067)39-55-360
Остап,Гладко,ostap.hladko12@student.org,2001,1,23,TSF-16,4.36,38(096)17-26-479
Анна,Павленко,anna.pavlenko22@student.org,1997,1,8,JWE-36,73.93,38(073)35-47-343
Лариса,Козлов,larysa.kozlov38@student.org,1997,11,17,WXS-29,48.93,38(050)74-92-577
Юлія,Шевченко,yuliya.shevchenko23@student.org,1973,3,11,SMJ-98,41.51,38(063)75-67-354
Тарас,Гайдук,taras.hayduk35@student.org,1993,1,1,KTX-32,91.42,38(096)68-29-593
Ігор,Коваленко,ihor.kovalenko5@student.org,1954,5,5,ANZ-56,86.31,38(073)96-80-937
Інна,Король,inna.korol5@student.org,1966,11,7,OZL-65,9.31,38(099)11-77-428
Інна,Рибак,inna.rybak27@student.org,1976,11,17,AJX-59,87.83,38(063)21-94-545
Ганна,Іваненко,hanna.ivanenko2@student.org,1964,11,20,CZB-89,40.95,38(067)89-29-318
Ігор,Авраменко,ihor.avramenko10@student.org,1965,12,28,KFJ-57,76.91,38(095)45-37-986
Роман,Гриценко,roman.hrytsenko76@student.org,1972,11,29,THW-61,16.5,38(066)59-90-227
Сергій,Гайдук,serhiy.hayduk35@student.org,1994,7,8,IVT-59,52.65,38(099)26-63-383
Євгенія,Коваль,yevheniya.koval15@student.org,1992,12,7,IVN-17,66.7,38(096)40-37-168
Віталій,Дорошенко,vitaliy.doroshenko17@student.org,1978,4,10,KLV-90,75.79,38(050)83-88-734
Вера,Гриценко,vera.hrytsenko27@student.org,2004,6,1,XON-85,46.98,38(063)34-66-310
Олена,Михайленко,olena.mykhaylenko1@student.org,1993,9,14,KTX-32,86.06,38(095)18-19-304
Тетяна,Панченко,tetyana.panchenko4@student.org,1972,5,18,USN-47,87.51,38(073)38-50-766
Дмитро,Цимбал,dmytro.tsymbal21@student.org,1972,3,12,YET-67,94.66,38(095)35-86-876
Василь,Шевченко,vasyl.shevchenko4@student.org,1953,12,18,AMM-19,81.18,38(097)56-65-222
Віктор,Авраменко,viktor.avramenko19@student.org,1979,8,26,IYJ-53,50.93,38(096)91-21-171
Костянтин,Костенко,kostyantyn.kostenko43@student.org,1963,2,23,VYG-81,1.08,38(063)37-54-186
Вікторія,Бойко,viktoriya.boyko25@student.org,1997,8,7,OSQ-22,67.58,38(066)50-69-680
Олеся,Білоус,olesya.bilous44@student.org,1965,9,11,TOZ-23,32.43,38(099)73-25-728
Тарас,Костенко,taras.kostenko1@student.org,1998,9,1,CYR-32,89.48,38(098)70-57-332
Анна,Новік,anna.novik16@student.org,1959,12,31,SMJ-98,27.8,38(073)95-68-336
Артем,Гончаренко,artem.honcharenko26@student.org,1968,8,9,WDW-53,39.23,38(066)16-29-442
Наталія,Василенко,nataliya.vasylenko29@student.org,1995,9,3,QPT-83,59.16,38(098)94-97-245
Роман,Марченко,roman.marchenko59@student.org,1955,8,13,ZME-55,14.77,38(050)62-40-533
Костянтин,Цимбал,kostyantyn.tsymbal22@student.org,1955,4,30,XFM-13,73.28,38(066)86-32-135
Валентина,Петренко,valentyna.petrenko21@student.org,2003,2,7,SJO-82,30.36,38(068)80-49-355
Федір,Макаренко,fedir.makarenko34@student.org,1984,11,9,DDU-91,34.97,38(066)63-57-663
Світлана,Ткаченко,svitlana.tkachenko16@student.org,1999,12,1,OGT-98,8.7,38(096)84-16-778
Юрій,Коваль,yuriy.koval11@student.org,1982,9,25,DVO-33,87.53,38(063)77-89-758
Дмитро,Коваленко,dmytro.kovalenko33@student.org,2002,9,17,EZG-70,83.09,38(073)57-21-838
Ірина,Романенко,iryna.romanenko3@student.org,2001,5,31,WLA-91,48.17,38(098)67-37-695
Максим,Шаповал,maksym.shapoval11@student.org,1956,5,25,PBA-98,19.29,38(093)66-62-998
Марія,Демченко,mariya.demchenko41@student.org,1998,7,1,BFD-66,5.06,38(093)86-79-184
Денис,Никоненко,denys.nykonenko1@student.org,1983,3,10,GQT-79,69.98,38(067)38-23-750
Лілія,Дорошенко,liliya.doroshenko38@student.org,1990,12,26,SZB-12,71.65,38(073)30-17-492
Василь,Лебедь,vasyl.lebed23@student.org,1999,2,7,MVF-15,27.82,38(066)89-98-849
Вера,Гладко,vera.hladko21@student.org,1982,2,15,NIZ-63,67.75,38(093)36-78-390
Денис,Литвин,denys.lytvyn20@student.org,1959,10,28,MIR-56,60.22,38(099)69-65-731
Марія,Панченко,mariya.panchenko13@student.org,1989,9,12,XZW-68,73.49,38(093)33-81-591
Петро,Гриценко,petro.hrytsenko22@student.org,1980,2,7,VKU-34,25.88,38(050)19-46-212
Любов,Гладко,lyubov.hladko28@student.org,1966,11,11,DVO-33,66.7,38(063)98-78-808
Костянтин,Панченко,kostyantyn.panchenko26@student.org,1966,9,25,PII-44,27.92,38(099)34-53-286
Дмитро,Шаповал,dmytro.shapoval26@student.org,1950,4,5,ICO-23,37.79,38(073)77-30-440
Надія,Левченко,nadiya.levchenko26@student.org,1972,10,16,NYU-91,15.12,38(050)80-92-189
Олександр,Шаповал,oleksandr.shapoval6@student.org,1980,10,19,RQK-41,97.58,38(098)87-78-107
Володимир,Новік,volodymyr.novik2@student.org,1997,1,6,HCC-53,39.07,38(098)72-71-948
Олеся,Рибак,olesya.rybak12@student.org,1991,9,5,HDZ-60,7.8,38(093)99-15-560
Ігор,Кузьменко,ihor.kuzmenko15@student.org,1997,10,6,RNQ-39,27.36,38(050)45-17-950
Михайло,Новік,mykhaylo.novik32@student.org,1954,9,26,LJE-36,76.56,38(050)83-47-823
Віталій,Гончаренко,vitaliy.honcharenko4@student.org,1952,11,20,OCH-78,47.83,38(050)40-25-324
Василь,Петренко,vasyl.petrenko21@student.org,2006,3,10,CJY-16,62.97,38(097)34-25-470
Володимир,Руденко,volodymyr.rudenko6@student.org,1957,9,14,KGY-95,32.22,38(066)95-80-816
Роман,Руденко,roman.rudenko25@student.org,1964,12,16,WZA-23,36.37,38(098)96-55-207
Роман,Коваль,roman.koval69@student.org,1954,10,3,FYJ-89,2.29,38(093)99-62-851
Вікторія,Михайленко,viktoriya.mykhaylenko17@student.org,2009,6,3,YBK-86,91.59,38(093)66-46-266
Оксана,Гладко,oksana.hladko24@student.org,1982,8,15,YLU-47,80.2,38(068)49-85-509
Алла,Левченко,alla.levchenko23@student.org,2010,3,12,ABU-28,70.67,38(073)64-36-506
Роман,Гриценко,roman.hrytsenko23@student.org,1973,9,1,XSH-42,18.21,38(095)54-17-480
Людмила,Омельченко,lyudmyla.omelchenko11@student.org,1972,5,13,FXL-53,17.14,38(073)33-45-238
Алла,Гончаренко,alla.honcharenko14@student.org,1968,2,17,QSU-92,65.26,38(063)19-92-170
Лілія,Кузьменко,liliya.kuzmenko35@student.org,1971,1,10,XSH-42,77.57,38(068)75-91-813
Роман,Марченко,roman.marchenko46@student.org,1963,8,2,XZQ-35,95.71,38(073)47-59-757
Ганна,Стельмах,hanna.stelmakh7@student.org,1973,8,6,YFJ-92,12.59,38(099)30-63-689
Тарас,Литвин,taras.lytvyn26@student.org,1980,12,8,ZYZ-10,61.56,38(096)62-35-970
Світлана,Панченко,svitlana.panchenko28@student.org,1999,8,20,UBF-32,45.7,38(073)95-53-635
Олександр,Кузьменко,oleksandr.kuzmenko9@student.org,1978,5,18,VVA-57,35.21,38(067)12-24-832
Денис,Кравченко,denys.kravchenko16@student.org,1957,1,21,CLX-45,74.67,38(068)91-38-750
Олександр,Лебедь,oleksandr.lebed21@student.org,1981,9,8,VNK-18,73.27,38(096)51-52-758
Вікторія,Мельник,viktoriya.melnyk12@student.org,1989,1,19,WSY-83,25.53,38(050)56-84-648
Любов,Василенко,lyubov.vasylenko8@student.org,1992,12,30,WVM-99,22.82,38(099)84-58-161
Артем,Гайдук,artem.hayduk13@student.org,2001,10,16,VYC-70,59.36,38(067)53-41-773
Олена,Костенко,olena.kostenko29@student.org,1977,9,12,CSM-20,46.15,38(095)59-50-802
Віталій,Коваленко,vitaliy.kovalenko24@student.org,1971,4,8,DVO-33,11.86,38(098)79-11-179
Алла,Макаренко,alla.makarenko4@student.org,1977,4,28,DOE-11,67.6,38(095)26-86-855
Ігор,Цимбал,ihor.tsymbal1@student.org,1952,10,10,KPG-93,4.39,38(095)48-71-922
Світлана,Цимбал,svitlana.tsymbal15@student.org,1992,10,31,HEM-81,77.58,38(093)41-38-327
Павло,Стельмах,pavlo.stelmakh1@student.org,1962,7,29,CJO-89,70.66,38(095)89-36-945
Валентина,Гайдук,valentyna.hayduk13@student.org,2008,5,3,DZM-24,96.46,38(067)99-49-878
Марія,Ковальчук,mariya.kovalchuk13@student.org,1998,2,2,MXQ-57,13.7,38(073)24-80-406
Костянтин,Петренко,kostyantyn.petrenko7@student.org,1998,12,13,HPX-46,35.52,38(097)16-82-405
Галина,Авраменко,halyna.avramenko11@student.org,1985,7,3,SXY-10,57.51,38(050)65-76-348
Олеся,Стельмах,olesya.stelmakh21@student.org,1986,7,16,UKE-75,55.96,38(050)55-60-869
Денис,Гриценко,denys.hrytsenko15@student.org,1996,1,22,OMS-69,71.36,38(095)99-10-571
Марія,Гончаренко,mariya.honcharenko28@student.org,2003,1,11,JLE-15,41.54,38(099)38-70-478
Артем,Ткаченко,artem.tkachenko9@student.org,1982,7,27,OAL-14,33.85,38(099)57-78-632
Вера,Білоус,vera.bilous20@student.org,1956,1,10,BUD-55,7.46,38(050)27-57-881
Вікторія,Захарченко,viktoriya.zakharchenko51@student.org,1998,5,26,NOA-52,98.29,38(073)41-60-913
Богдан,Василенко,bohdan.vasylenko21@student.org,1966,8,5,XYT-71,3.81,38(073)32-47-407
Ігор,Ковальчук,ihor.kovalchuk19@student.org,1987,10,13,BFG-57,24.22,38(068)44-21-338
Артем,Гордієнко,artem.hordiyenko1@student.org,2007,10,9,VFH-18,91.6,38(066)60-42-987
Юрій,Кузьменко,yuriy.kuzmenko13@student.org,1977,2,17,YBG-25,61.45,38(063)81-98-967
Любов,Никоненко,lyubov.nykonenko27@student.org,1980,12,30,LUZ-90,14.92,38(073)23-38-965
Раїса,Шевченко,rayisa.shevchenko36@student.org,1986,3,23,XML-35,58.83,38(098)81-26-484
Сергій,Авраменко,serhiy.avramenko24@student.org,1992,6,23,ZQZ-30,90.81,38(073)95-39-851
Володимир,Зайцев,volodymyr.zaytsev38@student.org,1952,12,5,GVE-19,30.53,38(093)26-26-656
Надія,Шевченко,nadiya.shevchenko6@student.org,1974,9,3,TXP-48,94.44,38(095)43-27-231
Максим,Макаренко,maksym.makarenko23@student.org,1986,4,14,QHX-79,52.46,38(073)85-99-372
Людмила,Скрипка,lyudmyla.skrypka7@student.org,1995,2,24,VEK-46,75.68,38(097)74-98-618
Сергій,Савченко,serhiy.savchenko30@student.org,1985,12,25,DBF-72,80.49,38(050)96-10-702
Ігор,Коваль,ihor.koval39@student.org,1952,8,15,BSO-26,15.26,38(050)13-28-400
Дмитро,Авраменко,dmytro.avramenko16@student.org,1960,4,20,QRE-47,81.54,38(067)22-80-331
Вікторія,Михайленко,viktoriya.mykhaylenko7@student.org,1963,5,16,BDY-70,19.97,38(096)68-60-325
Роман,Василенко,roman.vasylenko2@student.org,1959,8,23,WZP-70,39.79,38(096)32-96-123
Віталій,Гончаренко,vitaliy.honcharenko35@student.org,1998,2,23,RHE-83,46.95,38(098)31-22-453
Світлана,Іваненко,svitlana.ivanenko25@student.org,1997,10,13,VXY-31,49.57,38(098)86-47-102
Павло,Цимбал,pavlo.tsymbal26@student.org,1983,3,20,CAK-74,17.91,38(099)47-96-244
Тарас,Король,taras.korol@student.org,1957,6,13,OLK-19,38.09,38(063)52-77-228
Світлана,Кравченко,svitlana.kravchenko8@student.org,1981,8,26,IDW-98,32.11,38(095)37-60-411
Лариса,Скрипка,larysa.skrypka18@student.org,2002,11,25,FHR-78,4.59,38(096)38-47-155
Лариса,Шевченко,larysa.shevchenko15@student.org,1993,7,5,DSA-40,21.43,38(095)92-86-314
Лариса,Ткаченко,larysa.tkachenko26@student.org,1963,3,6,VHE-92,2.06,38(066)35-42-460
Юлія,Новік,yuliya.novik29@student.org,2006,11,1,HQN-61,29.25,38(066)85-82-685
Ярослав,Коваленко,yaroslav.kovalenko45@student.org,1996,3,29,VKZ-69,86.11,38(098)49-28-394
Надія,Козлов,nadiya.kozlov27@student.org,2002,5,5,QMF-40,96.6,38(098)98-99-404
Михайло,Василенко,mykhaylo.vasylenko31@student.org,2004,6,25,OCQ-25,53.16,38(073)38-57-454
Катерина,Савченко,kateryna.savchenko23@student.org,1990,4,24,QNL-32,96.04,38(066)21-23-936
Олександр,Омельченко,oleksandr.omelchenko39@student.org,1997,12,2,WNO-27,84.08,38(068)43-37-672
