m_name,m_surname,m_email,m_birth_year,m_birth_month,m_birth_day,m_group,m_rating,m_phone_number
Богдан,Шаповал,bohdan.shapoval@student.org,2009,4,3,FXL-53,87.27,38(099)47-56-631
Людмила,Білоус,lyudmyla.bilous23@student.org,2001,5,31,TEF-91,73.78,38(073)57-14-298
Наталія,Петренко,nataliya.petrenko6@student.org,1954,8,29,IMZ-70,10.03,38(097)97-30-142
Інна,Кузьменко,inna.kuzmenko27@student.org,1983,1,13,ERU-29,47.66,38(066)30-58-734
Михайло,Король,mykhaylo.korol28@student.org,1962,9,22,QVT-69,45.8,38(096)92-37-544
Галина,Левченко,halyna.levchenko1@student.org,1996,9,1,VRS-53,98.53,38(063)35-44-356
Любов,Марченко,lyubov.marchenko@student.org,1986,7,2,VET-47,40.85,38(066)19-82-831
Ігор,Панченко,ihor.panchenko3@student.org,1997,12,15,PKO-40,0.37,38(066)98-15-309
Любов,Макаренко,lyubov.makarenko14@student.org,2008,11,14,VCJ-17,46.77,38(096)60-13-763
Станіслав,Петренко,stanislav.petrenko24@student.org,1996,1,7,NCX-34,64.99,38(066)37-12-514
Василь,Стельмах,vasyl.stelmakh32@student.org,1996,11,6,EZR-22,12.22,38(095)86-79-897
Світлана,Цимбал,svitlana.tsymbal15@student.org,1992,10,31,HEM-81,77.58,38(093)41-38-327
Максим,Авраменко,maksym.avramenko15@student.org,1950,10,28,YQK-74,63.05,38(095)91-29-685
Дмитро,Бойко,dmytro.boyko29@student.org,1968,1,31,TYO-56,63.18,38(050)58-59-754
Оксана,Гриценко,oksana.hrytsenko3@student.org,2005,2,17,KMU-74,48.14,38(098)19-45-311
Марія,Романенко,mariya.romanenko45@student.org,1996,12,2,RXO-11,63.24,38(097)14-32-132
Сергій,Мельник,serhiy.melnyk41@student.org,2004,1,17,OVL-88,59.54,38(096)31-76-483
Василь,Ткаченко,vasyl.tkachenko38@student.org,1992,3,19,CMK-12,68.46,38(096)83-22-585
Лариса,Скрипка,larysa.skrypka21@student.org,2007,11,15,JSL-31,94.4,38(098)65-43-986
Роман,Гончаренко,roman.honcharenko23@student.org,1955,4,21,RGT-40,79.9,38(096)66-55-368
Катерина,Костенко,kateryna.kostenko11@student.org,2000,1,8,ABS-69,33.1,38(063)29-64-172
Світлана,Гладко,svitlana.hladko10@student.org,1973,9,29,MUT-21,69.85,38(073)36-67-475
Юлія,Павленко,yuliya.pavlenko18@student.org,1979,9,20,EWD-30,47.49,38(073)66-64-988
Андрій,Макаренко,andriy.makarenko28@student.org,1960,8,27,HFY-24,14.43,38(093)26-38-261
Станіслав,Шевчук,stanislav.shevchuk10@student.org,1995,6,21,QWU-10,94.44,38(068)80-48-641
Остап,Король,ostap.korol9@student.org,1985,9,29,JKA-80,80.74,38(096)20-67-558
Денис,Марченко,denys.marchenko3@student.org,1979,7,14,JVX-90,83.07,38(063)78-95-227
Олеся,Шаповал,olesya.shapoval38@student.org,1950,10,12,EGQ-67,35.24,38(050)35-24-698
Володимир,Левченко,volodymyr.levchenko15@student.org,1958,7,11,FNL-46,6.7,38(067)32-99-999
Олександр,Демченко,oleksandr.demchenko2@student.org,1978,4,1,RQG-36,48.88,38(066)79-94-463
Роман,Демченко,roman.demchenko53@student.org,1967,5,31,UCZ-59,26.32,38(073)82-17-515
Оксана,Романенко,oksana.romanenko4@student.org,1979,7,9,FST-41,59.13,38(066)25-76-913
Лариса,Руденко,larysa.rudenko25@student.org,1954,5,15,MLS-65,47.65,38(073)73-44-969
Людмила,Левченко,lyudmyla.levchenko15@student.org,2000,6,15,PHW-53,4.53,38(050)43-18-850
Наталія,Савченко,nataliya.savchenko42@student.org,1987,9,8,RRB-11,77.95,38(098)14-81-454
Марія,Гладко,mariya.hladko13@student.org,1997,6,28,RQI-11,22.04,38(099)64-11-736
Вера,Рибак,vera.rybak16@student.org,1963,1,10,HLN-95,82.11,38(099)57-32-642
Віталій,Гончаренко,vitaliy.honcharenko23@student.org,1951,10,7,PHC-87,68.76,38(097)86-74-653
Тарас,Никоненко,taras.nykonenko17@student.org,2001,1,28,RFI-24,99.72,38(063)90-48-392
Катерина,Дорошенко,kateryna.doroshenko23@student.org,2005,12,14,BSF-26,59.92,38(067)15-50-798
Любов,Стельмах,lyubov.stelmakh28@student.org,1965,7,19,KFJ-57,11.67,38(066)27-57-703
Максим,Гриценко,maksym.hrytsenko41@student.org,1972,7,26,UGC-35,56.08,38(098)42-85-335
Петро,Білоус,petro.bilous41@student.org,2000,2,29,MQP-12,14.07,38(095)77-25-448
Андрій,Новік,andriy.novik17@student.org,1983,1,10,NIJ-37,80.74,38(066)93-88-609
Галина,Захарченко,halyna.zakharchenko40@student.org,2009,11,28,ZBI-49,70.54,38(050)78-46-121
Дмитро,Зайцев,dmytro.zaytsev4@student.org,1999,5,13,WQD-67,81.96,38(073)91-95-861
Ганна,Коваль,hanna.koval14@student.org,2005,12,21,WFZ-16,44.9,38(098)66-21-563
Федір,Павленко,fedir.pavlenko8@student.org,1982,7,17,VTT-82,74.1,38(067)89-59-923
Галина,Мельник,halyna.melnyk29@student.org,1977,9,9,CNR-35,43.36,38(097)31-10-930
Максим,Новік,maksym.novik16@student.org,1961,1,29,GZM-18,1.18,38(073)39-42-698
Юлія,Гордієнко,yuliya.hordiyenko6@student.org,1989,8,1,YQT-40,41.86,38(095)90-17-711
Федір,Левченко,fedir.levchenko27@student.org,2006,4,1,NEG-89,80.77,38(097)77-93-559
Світлана,Макаренко,svitlana.makarenko32@student.org,1987,11,18,UMH-90,57.35,38(068)52-50-905
Світлана,Захарченко,svitlana.zakharchenko13@student.org,1958,10,24,HNQ-75,46.92,38(093)88-83-909
Вікторія,Омельченко,viktoriya.omelchenko38@student.org,1987,9,21,PKA-29,28.99,38(066)32-92-302
Дмитро,Стельмах,dmytro.stelmakh11@student.org,1994,11,1,XUZ-50,60.64,38(098)43-69-556
Костянтин,Ткаченко,kostyantyn.tkachenko11@student.org,1955,4,14,YPJ-11,27.72,38(067)22-36-725
Михайло,Скрипка,mykhaylo.skrypka12@student.org,1988,5,10,CTR-92,86.16,38(068)96-86-311
Станіслав,Литвин,stanislav.lytvyn6@student.org,1981,10,30,MLY-38,78.68,38(066)67-46-559
Роман,Авраменко,roman.avramenko77@student.org,1971,3,20,URG-87,76.94,38(073)36-38-393
Вера,Павленко,vera.pavlenko31@student.org,1967,2,15,KAD-54,89.77,38(050)48-25-872
Віталій,Павленко,vitaliy.pavlenko6@student.org,1950,9,17,JFX-85,93.18,38(068)18-68-930
Надія,Литвин,nadiya.lytvyn11@student.org,1957,3,3,TTG-26,82.97,38(063)49-59-520
Оксана,Костенко,oksana.kostenko57@student.org,2000,11,18,UIQ-41,38.83,38(066)92-61-458
Юрій,Іваненко,yuriy.ivanenko18@student.org,1978,4,26,NOS-54,54.59,38(068)61-14-474
Олександр,Романенко,oleksandr.romanenko32@student.org,1986,6,27,CZN-74,55.76,38(097)20-61-982
Євгенія,Савченко,yevheniya.savchenko28@student.org,1969,11,27,NLU-30,24.05,38(068)37-37-575
Валентина,Костенко,valentyna.kostenko3@student.org,2007,12,22,SKB-62,81.32,38(067)22-59-784
Лілія,Макаренко,liliya.makarenko41@student.org,1994,5,29,ZCV-16,20.59,38(050)91-19-301
Максим,Руденко,maksym.rudenko38@student.org,1960,7,9,JIJ-57,67.91,38(066)87-90-558
Вікторія,Авраменко,viktoriya.avramenko4@student.org,1966,2,12,SZB-12,79.53,38(063)29-54-180
Олена,Марченко,olena.marchenko18@student.org,1977,3,20,MKP-50,0.44,38(068)53-76-234
Ярослав,Шаповал,yaroslav.shapoval31@student.org,2008,6,21,OAP-61,35.57,38(093)71-71-239
Павло,Гордієнко,pavlo.hordiyenko6@student.org,1974,2,17,BCB-70,59.63,38(098)98-69-797
Алла,Стельмах,alla.stelmakh33@student.org,1950,11,2,NSZ-73,49.95,38(095)98-47-878
Євгенія,Шевченко,yevheniya.shevchenko5@student.org,1975,8,9,BPN-10,95.28,38(095)65-50-663
Наталія,Гладко,nataliya.hladko11@student.org,1993,7,19,WGP-30,3.06,38(095)65-38-993
Віталій,Омельченко,vitaliy.omelchenko19@student.org,2008,7,28,HDO-12,14.79,38(063)88-10-596
Петро,Макаренко,petro.makarenko21@student.org,2008,2,8,UGT-52,17.51,38(095)49-82-685
Станіслав,Король,stanislav.korol18@student.org,1993,11,8,VEZ-89,2.27,38(098)52-72-169
